gene_id,symbol,entrez,log2FoldChange,padj,baseMean,lfcSE,pvalue
ENSG00000152583,SPARCL1,8404,4.5879652449837725,1.7026242468998542e-100,997.444732611474,0.21206821336340984,9.24585526418601e-105
ENSG00000148175,STOM,2040,1.4381158421553717,1.4297953651372342e-61,11193.7231981539,0.08513880221524159,1.5528594788349e-65
ENSG00000179094,PER1,5187,3.158833912369946,1.904631420437418e-52,776.6001640986127,0.20225013285433663,3.102847820424792e-56
ENSG00000134686,PHC2,1912,1.375858968341837,4.4450730245915525e-48,2737.9816258697733,0.0919831788478898,9.655331033595553e-52
ENSG00000125148,MT2A,4502,2.1843704848526566,6.003842721161357e-47,3656.267400374528,0.1480421712238957,1.6301500736251308e-50
ENSG00000120129,DUSP1,1843,2.919787768196944,5.3937154261943064e-45,3409.038354901434,0.2025687694719274,1.7573875947415605e-48
ENSG00000189221,MAOA,4128,3.274214453768946,3.4449969934142935e-44,2341.7806756905375,0.22902004114762417,1.3095291313548768e-47
ENSG00000109906,ZBTB16,7704,7.10785281194065,5.169718740054783e-44,385.0713276763891,0.5002433824180533,2.245872925356409e-47
ENSG00000178695,KCTD12,115207,-2.4740369996153047,4.637911976638757e-41,2649.822514745464,0.17968860226297328,2.2666960515747385e-44
ENSG00000101347,SAMHD1,25939,3.829608432501335,4.029548194594856e-40,12703.412825239811,0.2804459400544571,2.1881879959787433e-43
ENSG00000162614,NEXN,91624,2.008183287260319,1.3103098290703197e-37,5393.114540935523,0.15250056891636876,7.826993277096668e-41
ENSG00000196517,SLC6A9,6536,-2.192133779769355,4.1291693748917255e-37,229.6380499193763,0.16735425033820384,2.690743008346495e-40
ENSG00000096060,FKBP5,2289,3.895049482832894,5.241680225188486e-37,2564.384375049372,0.29847428414749694,3.700344443521603e-40
ENSG00000162616,DNAJB4,11080,1.50204663666858,9.158659059797043e-32,1467.638323019774,0.1241396953968203,6.962868685156589e-35
ENSG00000116584,ARHGEF2,9181,-1.0024723000720357,1.0062526829224652e-31,2250.5808910208693,0.08278422035700832,8.19646497085907e-35
ENSG00000166741,NNMT,4837,2.1292328409471737,4.543443654797863e-31,7432.960982333251,0.1786563422622961,3.947602415246582e-34
ENSG00000183044,ABAT,18,1.1431950839402,9.908105243949118e-30,498.69025450335334,0.09766940152843648,9.146771064194135e-33
ENSG00000144369,FAM171B,165215,-1.3314042667678996,3.1273058367107715e-28,1303.2632272951082,0.11687599972538164,3.056828947097143e-31
ENSG00000198624,CCDC69,26112,2.852224800894974,7.1319152060595245e-28,2057.2044087319314,0.25252315083453175,7.358478898459459e-31
ENSG00000164125,GASK1B,51313,1.1096890190706958,1.8932803404867837e-27,5596.351415239098,0.09866425989288412,2.0562371333008777e-30
ENSG00000108821,COL1A1,1277,-1.2856042008489827,1.6323243840374814e-26,100989.91598641982,0.11638029282707744,1.8614614208410054e-29
ENSG00000135821,GLUL,2752,2.954889498279591,4.3686008217119436e-26,19611.25138451296,0.27099150200632355,5.219072390858689e-29
ENSG00000163884,KLF15,28999,4.50835323736144,8.655488185326991e-26,561.1110482618218,0.41589678493061094,1.081054728550208e-28
ENSG00000162692,VCAM1,7412,-3.5490593604875,1.5553041094608387e-25,508.164810682556,0.32862779072178194,2.0270050842823855e-28
ENSG00000164647,STEAP1,26872,1.5324632544972274,1.8341023758249888e-25,1920.7108494479876,0.14207486490531934,2.4899570673703355e-28
ENSG00000077684,JADE1,79960,1.188570672947604,2.761726867359406e-25,1570.6339268227853,0.1104646862214155,3.8992613929592485e-28
ENSG00000139132,FGD4,121512,2.2172538093487746,3.878966049763951e-25,1223.4631520737137,0.2072462746521941,5.687324645323197e-28
ENSG00000114098,ARMC8,25852,1.3350905484530922,2.3232062180553816e-24,1010.2928288840124,0.12656724293439925,3.5324341083655e-27
ENSG00000181467,RAP2B,5912,-1.2517024470390596,3.939937675456511e-24,630.8695712520055,0.11920635242701354,6.204626260561434e-27
ENSG00000123562,MORF4L2,9643,1.0123595063116182,5.201643932588338e-24,5040.483344065627,0.09653772594943512,8.474033015348909e-27
ENSG00000165995,CACNB2,783,3.243286276196545,5.969838565316253e-24,495.09568652581095,0.3112408500722555,1.0049687511528854e-26
ENSG00000145777,TSLP,85480,-2.7368196988378206,1.0324966934892775e-23,152.37084155278123,0.26422614304627523,1.7941837736441426e-26
ENSG00000116285,ERRFI1,54206,2.3976304090952256,1.1128093722386111e-23,3232.6358807927904,0.2313104109451893,1.994173732493846e-26
ENSG00000177666,PNPLA2,57104,1.0869582018391952,3.863360930183899e-23,1701.2318370441103,0.10575290183026508,7.133004161078066e-26
ENSG00000163491,NEK10,152110,-2.4267434582665435,8.769029181311664e-23,160.2233397828881,0.2395226993552632,1.6666631623454157e-25
ENSG00000183160,TMEM119,338773,-1.149129899899061,1.0169005800492319e-22,2987.6472792282752,0.11296325654388718,1.9879674657492456e-25
ENSG00000103196,CRISPLD2,83716,2.6510785598200117,2.0972031447782344e-22,3082.0888846719963,0.2634362526955351,4.213766839901964e-25
ENSG00000119138,KLF9,687,2.07117276548568,5.5130944657541385e-22,1683.2762290521164,0.2076791564812215,1.1376464279047368e-24
ENSG00000163697,APBB2,323,1.061960919446303,7.351756532161947e-22,2266.275313301136,0.10645045806650352,1.5569834632327775e-24
ENSG00000185950,IRS2,8660,2.122336185240985,7.419742260763446e-22,1974.878890050489,0.21359803429997737,1.6116735836575502e-24
ENSG00000157150,TIMP4,7079,2.8768787282114263,8.417537569661576e-22,167.61576758741472,0.2896366390197282,1.874119143937685e-24
ENSG00000141401,IMPA2,3613,2.3101059472049617,2.303214796093248e-21,627.5280674587966,0.2353339624323922,5.2530557391211735e-24
ENSG00000158246,TENT5B,115572,2.289391654629334,2.806833288976155e-21,70.3028660136772,0.23288840954105736,6.5541043402647126e-24
ENSG00000139289,PHLDA1,22822,-0.9734643514172264,3.044326662798767e-21,1975.8534295682628,0.09904713649117444,7.273981708560725e-24
ENSG00000166482,MFAP4,4239,-0.9466382307633616,3.875254312137571e-21,26348.0835801087,0.09656936704090312,9.469804183882199e-24
ENSG00000211445,GPX3,2878,3.6747807178364864,1.2072618285912364e-20,12285.700054712408,0.380518567999455,3.015696123551283e-23
ENSG00000133142,TCEAL4,79921,1.5178765871138489,1.447477234033575e-20,3055.980677466061,0.15757499630520658,3.694348628812273e-23
ENSG00000103502,CDIPT,10423,0.8083116682875362,3.242549522823064e-20,3319.8658763862036,0.08418596202964079,8.497498879100662e-23
ENSG00000172986,GXYLT2,727936,-1.537785221286212,3.242549522823064e-20,756.360325010941,0.16133101015997767,8.628016650465932e-23
ENSG00000164484,TMEM200A,114801,-1.1892855943176168,1.5810909668124608e-19,816.7876386141993,0.12666789463951697,4.292943162672986e-22
ENSG00000197043,ANXA6,309,0.9020599864682632,4.748338633748827e-19,14120.99459356107,0.09724428155023976,1.3150435531967971e-21
ENSG00000131389,SLC6A6,6533,-2.072447048221062,5.820694835828249e-19,740.4031338532454,0.22495650213655416,1.6436390522023835e-21
ENSG00000132356,PRKAA1,5562,0.8493708144230745,7.509875308041637e-19,2383.8737673028086,0.09177339847930394,2.1614085871637624e-21
ENSG00000161647,MPP3,4356,1.534657860234205,1.064187182953517e-18,166.34141700235733,0.16728184021032866,3.1206140580771062e-21
ENSG00000181061,HIGD1A,25994,1.185261626627795,1.1600323022455594e-18,2420.908001739079,0.12925588747460506,3.464663406109464e-21
ENSG00000250978,NA,NA,6.159729156632067,1.3381499243278462e-18,56.31855663470466,0.6582970929877244,4.069312829886472e-21
ENSG00000157514,TSC22D3,1831,3.2643155211935326,1.7540083951711167e-18,2205.7188482374377,0.3592693881655392,5.4291869956423375e-21
ENSG00000132970,WASF3,10810,1.079565355676522,3.4237224760309386e-18,1322.814869378492,0.1192125851458084,1.07833778772628e-20
