"symbol","log2FoldChange","padj","baseMean"
"CDKN2A",2.83810980874192,4.15410289996865e-26,288.937235463868
"TRIP13",2.24048979888933,3.34774867568211e-114,876.503132242675
"BRCA2",2.10583013651472,8.49801646180846e-35,585.955573051844
"CDC25B",2.09181584653144,1.46347226496717e-64,5062.56391917816
"MYBL2",2.01741843024554,2.0935161132343e-38,3494.45285489018
"UBE2S",1.9925419653751,4.44952330932022e-45,1144.44969244953
"ORC6",1.97478788196879,3.46659643640949e-78,512.347378560393
"DSCC1",1.92876960419682,3.20202351288556e-54,469.284889934613
"MYC",1.83819863352984,3.96021009798326e-48,8873.40583478031
"RFC3",1.80131833319205,3.39243707387388e-55,1157.2705513676
"KIF18B",1.73162855220135,5.43972109428617e-51,719.56903533796
"GINS1",1.71945723794331,1.73793339456181e-41,1021.50101395781
"NME1",1.68944594393048,3.50604156124912e-46,4625.74227776759
"DIAPH3",1.63221455249047,2.15905119083554e-43,615.580053738133
"ATAD2",1.60160132702001,4.47917820698528e-39,1691.72134443104
"HELLS",1.59706979529819,1.22836786703962e-26,944.648673843052
"CDK1",1.56535079020999,2.59186625804682e-34,2035.08221361846
"CCNE1",1.53732513734101,4.94705478965286e-36,416.514362816885
"MAD2L1",1.53038161204101,1.17419678858749e-35,1550.31459510351
"WDR90",1.51569174364994,2.02338205963465e-27,1610.02834233892
