"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
3.76233590034894e-53,1.43574968578158,0.934,0.673,5.89068931917633e-49,"0","Meis2"
5.15617955573599e-38,1.17350212918415,0.906,0.589,8.07303033041583e-34,"0","Neurod2"
1.39990936472614e-36,1.50111313923883,0.84,0.57,2.19183809235172e-32,"0","Frmd4b"
6.8568360536021e-36,1.13115048752637,0.914,0.855,1.07357482091248e-31,"0","Gria2"
7.84160266646758e-35,2.00807533416128,0.609,0.229,1.22775972948883e-30,"0","Unc5d"
2.85893227416651e-34,1.4180118533041,0.859,0.564,4.47623026166251e-30,"0","Pou3f2"
5.86989382349474e-33,1.40464852501273,0.871,0.703,9.19049275944571e-29,"0","Cttnbp2"
2.94460608597556e-31,1.67077664613887,0.656,0.28,4.61036974881194e-27,"0","Sema3c"
6.34823669229387e-27,1.31842097208376,0.727,0.398,9.93943418912451e-23,"0","Lmo1"
1.4340420942089e-26,2.16166299258081,0.523,0.223,2.24527970690288e-22,"0","Prex1"
4.16355967603378e-26,2.28510023355762,0.453,0.156,6.51888538476609e-22,"0","Fam84a"
4.18743094274151e-26,2.20120281269203,0.449,0.152,6.55626062705039e-22,"0","Pdzrn3"
6.29922324542525e-26,1.12048606194336,0.844,0.618,9.86269383536231e-22,"0","Enc1"
1.14476949097889e-25,1.07422633556386,0.898,0.783,1.79236559202565e-21,"0","Pou3f3"
8.96251801165899e-25,0.721158678814612,0.934,0.967,1.40326144508545e-20,"0","Sox11"
1.02944273153376e-24,0.765928873012691,0.938,0.884,1.61179848476241e-20,"0","Jund"
4.26644778916483e-24,0.750048808800512,0.926,0.857,6.67997730349538e-20,"0","Igfbpl1"
4.59758360316904e-24,0.64624765767764,0.945,0.915,7.19843664748176e-20,"0","Cd24a"
1.45237729819889e-23,1.15406954813292,0.801,0.536,2.27398713579001e-19,"0","Robo2"
3.00712621610275e-22,1.7674610650469,0.492,0.208,4.70825751655208e-18,"0","Wnt7b"
5.12513192639588e-22,0.437314626137406,0.957,0.988,8.02441905715803e-18,"0","H3f3b"
5.28499890562113e-22,1.59231883156744,0.57,0.28,8.27472278653101e-18,"0","Lsamp"
2.07564314074398e-21,1.53537138043653,0.641,0.365,3.24983446546285e-17,"0","Tbr1"
3.75141236175227e-21,0.936606651922742,0.883,0.889,5.87358633479553e-17,"0","Tsc22d1"
7.31916616935959e-20,1.68472301814753,0.41,0.152,1.14596184713663e-15,"0","2600014E21Rik"
1.12144350130716e-19,0.785298222125463,0.887,0.711,1.75584408999662e-15,"0","Zbtb18"
1.44212697291158e-19,1.15726113325986,0.793,0.668,2.25793820148766e-15,"0","Mllt3"
1.95313045172464e-19,1.66731777804083,0.523,0.257,3.05801634826526e-15,"0","Cdh4"
3.29899634053782e-19,0.695794732589697,0.926,0.858,5.16523857038007e-15,"0","Nfib"
3.92053680760948e-19,1.24377353566167,0.695,0.461,6.13838447967417e-15,"0","Nfasc"
4.8194627576317e-19,0.979394198477149,0.785,0.642,7.54583283962395e-15,"0","Mn1"
5.64847194213639e-18,0.938956838378435,0.852,0.711,8.84381251980294e-14,"0","Frmd4a"
1.51373873545605e-17,1.29605780125088,0.426,0.173,2.37006073810353e-13,"0","Pcp4"
2.16871357047826e-17,0.979480200653926,0.871,0.826,3.3955548372978e-13,"0","CT025619.1"
3.55528224648422e-17,1.02367827957278,0.535,0.243,5.56650541332035e-13,"0","Sstr2"
3.99140102334329e-17,1.69568852764008,0.496,0.26,6.24933658224859e-13,"0","Galnt17"
6.91081285748455e-17,0.919946954620441,0.82,0.736,1.08202596909636e-12,"0","Sorbs2"
3.78062241866886e-16,0.654275005611666,0.883,0.706,5.91932052090983e-12,"0","Myt1l"
4.05240867549478e-16,0.796168379967444,0.77,0.518,6.34485626322217e-12,"0","Epha3"
6.09882261698166e-16,1.06831136767577,0.676,0.473,9.54892657140819e-12,"0","Dpy19l1"
8.84283223582725e-16,0.833317819650591,0.836,0.712,1.38452224316347e-11,"0","Gm17750"
9.0686181993851e-16,0.693428217684268,0.887,0.798,1.41987355147773e-11,"0","Pantr1"
9.54710110958589e-16,0.811414474976988,0.715,0.46,1.49478962072786e-11,"0","Nrp1"
1.26603507683949e-15,0.443676498511329,0.93,0.967,1.98223111980759e-11,"0","Basp1"
3.90119368303847e-15,0.836420350106822,0.82,0.707,6.10809894953333e-11,"0","Kif21b"
7.1931331171654e-15,0.656668284356701,0.891,0.897,1.12622885215459e-10,"0","Hist3h2ba"
8.47893119796676e-15,0.695602475773244,0.883,0.81,1.32754625766566e-10,"0","Epha5"
1.2602048841887e-14,1.5032519542491,0.465,0.236,1.97310278717425e-10,"0","Slc17a6"
1.43827414084423e-14,0.619245555565869,0.918,0.936,2.25190582231981e-10,"0","Ptprs"
1.59037893020523e-14,0.994691635784107,0.754,0.654,2.49005629102233e-10,"0","Plxna2"
1.80759224582789e-14,1.2132159096917,0.613,0.432,2.83014717929272e-10,"0","Carmil3"
1.82418551397075e-14,0.804700111562653,0.742,0.538,2.856127259224e-10,"0","Insm1"
3.35626689188663e-14,0.618474871594418,0.867,0.836,5.2549070726269e-10,"0","Tagln3"
