"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,1.57456791791612,0.962,0.344,0,"0","CD3D"
0,2.17442596810237,0.931,0.321,0,"0","IL7R"
0,1.92057945018212,0.969,0.372,0,"0","TRAC"
0,1.78954735419779,0.962,0.366,0,"0","IL32"
0,1.65131416149579,0.896,0.306,0,"0","CD3G"
0,1.36652391001996,0.946,0.384,0,"0","CD3E"
0,1.92814412614906,0.816,0.259,0,"0","CD2"
0,2.45803402141269,0.639,0.148,0,"0","AQP3"
0,2.0214593477168,0.606,0.179,0,"0","CD6"
0,2.21898017108198,0.529,0.119,0,"0","MAL"
0,2.60024753488111,0.505,0.1,0,"0","INPP4B"
0,2.44615810655656,0.481,0.093,0,"0","CD40LG"
0,1.48162765774033,0.992,0.622,0,"0","LTB"
0,1.4840260951541,0.979,0.711,0,"0","LDHB"
0,4.28507863118461,0.271,0.019,0,"0","TNFRSF4"
0,0.83674581000748,0.999,0.981,0,"0","RPS29"
0,0.680511242945255,0.999,0.982,0,"0","RPL36"
0,0.694396329032146,0.999,0.984,0,"0","RPS3"
0,0.726590266834344,0.999,0.987,0,"0","RPS18"
0,0.608788991728696,0.999,0.988,0,"0","RPS15A"
0,0.520823981323309,1,0.995,0,"0","EEF1A1"
0,0.528917447085971,0.999,0.995,0,"0","TPT1"
3.27565523192746e-320,1.38755951318351,0.817,0.339,6.64695959662721e-316,"0","TCF7"
5.25290594658413e-320,0.671317615300183,1,0.982,1.06591967468085e-315,"0","RPS25"
8.30009534256169e-318,0.679493869533123,0.999,0.991,1.68425534691262e-313,"0","RPS12"
2.35448589543339e-312,2.14621015546682,0.486,0.114,4.77772277901344e-308,"0","TRAT1"
5.46170259652412e-309,0.573432717620849,0.999,0.982,1.10828869088668e-304,"0","RPL14"
3.17877826903404e-308,0.529007449039867,1,0.992,6.45037686352387e-304,"0","RPL41"
6.36165147153247e-307,0.651206097686478,0.998,0.981,1.29090631660337e-302,"0","RPL23A"
5.42259967106399e-304,1.26283328324105,0.857,0.363,1.1003539252523e-299,"0","LCK"
9.79187353467635e-304,1.99221651352738,0.552,0.158,1.98696697765652e-299,"0","OPTN"
4.45994738046043e-299,0.570334466085137,0.999,0.984,9.0501252244303e-295,"0","RPS4X"
1.67174821791113e-292,0.602145795387623,1,0.983,3.39231148378527e-288,"0","RPL13A"
1.8885935281362e-285,1.37985003146913,0.843,0.489,3.83233398729397e-281,"0","NOSIP"
4.48058869898971e-284,0.499579038188538,1,0.988,9.09201058798992e-280,"0","RPL11"
5.6318179284709e-284,0.750414535979051,0.998,0.969,1.14280849404531e-279,"0","RPSA"
1.55014203140871e-283,1.55433894672308,0.824,0.417,3.14554821013455e-279,"0","TRBC2"
1.07804349270252e-281,0.624910020578644,0.999,0.984,2.18756585539194e-277,"0","RPS6"
1.68006818216079e-280,0.507374836043119,0.999,0.985,3.40919435524067e-276,"0","RPS28"
5.56407534886282e-280,0.574446083320727,1,0.992,1.12906216979124e-275,"0","RPS27A"
1.22336958809163e-279,0.539270562005242,0.999,0.984,2.48246156815554e-275,"0","RPL37"
2.17436145554194e-278,1.47204613481761,0.702,0.263,4.41221426558571e-274,"0","SPOCK2"
2.55123487811465e-278,0.539427076445879,0.999,0.986,5.17696581467024e-274,"0","RPS14"
4.12005370848798e-277,1.44405884468528,0.69,0.251,8.3604129852638e-273,"0","BCL11B"
2.36226978462621e-276,0.635759635602759,0.999,0.982,4.7935178469635e-272,"0","RPL3"
1.01977527332295e-274,0.511968402170449,1,0.993,2.06932798462692e-270,"0","RPL10"
2.21971457237552e-273,0.505474832491157,0.999,0.987,4.5042448102644e-269,"0","RPL34"
5.19376528565896e-273,0.518139557207121,0.999,0.988,1.05391885176592e-268,"0","RPS2"
5.50147780599192e-271,0.674802774105027,1,0.991,1.11635987639188e-266,"0","RPS27"
1.82800417913602e-270,0.614031859539825,0.996,0.973,3.70938608030281e-266,"0","RPL38"
1.59806744928692e-269,2.39551092760814,0.4,0.087,3.24279846809301e-265,"0","CD5"
5.69056827051136e-268,2.42116366670191,0.374,0.076,1.15473011345217e-263,"0","CD28"
5.23314866075359e-263,1.43485137583406,0.701,0.274,1.06191052624012e-258,"0","CD27"
6.73813617961271e-263,0.396863094684364,0.999,0.988,1.36730259356701e-258,"0","RPL28"
1.09455412904601e-257,0.497875783002908,0.999,0.989,2.22106923866017e-253,"0","RPL30"
1.95601377047922e-257,0.610328211765859,0.999,0.979,3.96914314305643e-253,"0","RPS21"
5.63955465936611e-256,0.552253350682737,0.998,0.982,1.14437843147857e-251,"0","RPS16"
1.80019173307664e-255,0.54745664989371,0.999,0.992,3.65294906475913e-251,"0","RPL13"
1.15913527697141e-243,0.447581595865049,1,0.986,2.35211730403038e-239,"0","RPL39"
1.16634880503144e-242,0.865188556719487,0.976,0.813,2.3667549951698e-238,"0","AES"
1.11243865061571e-239,0.490680240764896,0.998,0.985,2.2573605098294e-235,"0","RPLP2"
