"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,4.28507863118461,0.271,0.019,0,"0","TNFRSF4"
0,2.60024753488111,0.505,0.1,0,"0","INPP4B"
0,4.03794986217021,0.372,0.037,0,"1","MARC1"
0,3.95222473540301,0.31,0.032,0,"1","AQP9"
0,3.34871849721699,0.531,0.055,0,"2","PID1"
6.68546216770209e-295,3.16614161836313,0.302,0.033,1.35661398307011e-290,"2","NID1"
3.25366374844851e-282,3.82567909770674,0.286,0.029,6.60233447835172e-278,"3","ADTRP"
0,3.39581257794928,0.507,0.079,0,"3","FHIT"
0,6.5118938003497,0.96,0.031,0,"4","TCL1A"
0,6.11654904960444,0.252,0.008,0,"4","COL19A1"
0,6.63814562043276,0.476,0.007,0,"5","SLC4A10"
0,4.97179170311064,0.351,0.018,0,"5","LTK"
0,7.93648154904523,0.56,0.01,0,"6","MYOM2"
0,6.53035610736678,0.329,0.005,0,"6","NCR1"
0,8.29787939769575,0.567,0.007,0,"7","IGHG1"
0,7.93422383983886,0.296,0.004,0,"7","IGHG2"
2.38760280904274e-176,4.04178912136868,0.411,0.058,4.84492362010953e-172,"8","GZMH"
0,3.81983114045752,0.841,0.105,0,"8","CD8A"
0,10.8218664219444,0.274,0.001,0,"9","LYPD2"
0,8.66599913276509,0.329,0.001,0,"9","LINC02345"
0,6.72478525888671,0.56,0.007,0,"10","LINC02446"
0,4.5016548381745,0.963,0.063,0,"10","CD8B"
1.91184809525606e-25,1.79040360639492,0.271,0.078,3.87952215489359e-21,"11","SIRPB2"
1.36272551979543e-83,1.67247992529489,0.948,0.332,2.76524262476889e-79,"11","AC020656.1"
0,11.5088757786148,0.419,0.001,0,"12","AC090409.1"
0,11.0451393657259,0.878,0.006,0,"12","GP9"
0,8.74080488433728,0.284,0.001,0,"13","AXL"
0,7.31335691173885,0.642,0.008,0,"13","ENHO"
3.23254525376694e-76,2.36510776821069,0.585,0.068,6.55948082894387e-72,"14","PAX5"
5.20156712279239e-74,2.14346825134861,0.638,0.083,1.05550200055703e-69,"14","FCRL5"
0,13.1030428943559,0.805,0,0,"15","LRRC26"
0,12.7209806822545,0.5,0,0,"15","AC097375.1"
1.8555160319298e-27,2.50791815597333,0.887,0.311,3.76521313199195e-23,"16","IGKC"
1.26678492373496e-11,2.45500302525727,0.355,0.091,2.57055996724299e-07,"16","JCHAIN"
0,13.6592095342674,0.652,0,0,"17","CPA3"
0,12.4943368550681,0.391,0,0,"17","AVP"
2.89849004841759e-54,4.72911953741108,0.333,0.009,5.88161600624897e-50,"18","KIF3C"
2.64645326239865e-213,4.62031955457559,0.619,0.007,5.37018296005933e-209,"18","PDE5A"
